RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Norma Dumont,Germaine de Randamie,-115,-105,86.9565,95.2381,4/6/2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,2.57,0.46,0.4,0,0,5,3,31,2,0,1,3,4,1,0,9,Orthodox,175.26,180.34,135,0,3,0,3.11,0.49,0,1.91,0.68,3,2,24,0,0,1,5,0,0,0,6,Orthodox,170.18,170.18,135,33,39,0,-2,2,3,1,7,2,4,1,5.08,10.16,6,-0.54,0.4,-1.91,,,11,,,,11,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,110,240,900,1800,1800,350
Pedro Falcao,Victor Hugo,130,-155,130,64.5161,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,1,0,3.46,0.51,1.4,0.67,0.5,1,0,2,0,0,0,0,0,1,0,1,Orthodox,170.18,180.34,135,0,1,0,2.9,0.48,0,2.07,0.22,1,0,3,0,0,0,0,1,0,0,1,Orthodox,167.64,167.64,135,31,31,0,0,0,0,0,-1,0,-1,1,2.54,12.7,0,0.56,1.4,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,400,250,550,300,400,450
Dan Argueta,Jean Matsumoto,130,-155,130,64.5161,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,1,0,4.76,0.38,0.6,1.2,0.5,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,135,0,1,0,2.18,0.45,1.6,4.45,0.48,1,1,10,0,0,0,1,0,0,0,1,Southpaw,170.18,172.72,135,30,24,0,0,0,0,-1,-7,0,0,0,-2.54,0,-6,2.58,-1,-3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2,4:59,599,,130,,600,,600
Dylan Budka,Cesar Almeida,-166,140,60.241,140,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,4.25,0.61,0,0,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,185.42,187.96,185,0,1,0,1.04,0.6,0.7,3.38,0.38,1,0,3,0,0,0,1,0,0,0,1,Switch,182.88,190.5,185,24,36,0,0,0,0,0,0,0,0,0,2.54,-2.54,12,3.21,-0.7,-3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,2,2:13,433,165,275,450,2000,500,425
Melissa Mullins,Nora Cornolle,-360,285,27.7778,285,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,3.29,0.59,0,0,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,135,0,1,0,2.73,0.52,0,0.65,0.2,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,135,32,34,0,0,0,0,0,0,0,0,0,0,-2.54,2,0.56,0,-0.65,,,15,,,,15,,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Knee,2,3:06,486,-105,,450,,330,
Erin Blanchfield,Manon Fiorot,-218,180,45.8716,180,3/30/2024,"Atlantic City, New Jersey, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,5,0,6,0,6.26,0.41,0,1.17,0.42,6,0,16,0,0,0,4,2,0,0,6,Orthodox,170.18,165.1,125,0,6,0,5.47,0.45,1,2.05,0.33,6,0,14,0,0,0,3,0,3,0,6,Orthodox,162.56,167.64,125,24,34,0,0,0,0,0,2,0,2,-3,7.62,-2.54,10,0.79,-1,-0.88,,3,2,2,,,,,,,,,,,,4,3,,,,,,,,,,,,6,Red,U-DEC,,5,5:00,1500,225,300,180,2800,800,500
Vicente Luque,Joaquin Buckley,-148,124,67.5676,124,3/30/2024,"Atlantic City, New Jersey, USA",USA,Blue,FALSE,Welterweight,MALE,3,0,2,0,4.25,0.36,0,1.69,0.44,3,4,26,0,0,1,1,5,0,0,7,Southpaw,177.8,193.04,170,0,1,0,5.07,0.52,0.6,1,0.53,6,5,45,0,0,1,1,8,5,0,15,Orthodox,180.34,190.5,170,32,29,0,1,-3,-8,-1,-19,0,-3,-5,-2.54,2.54,-3,-0.82,-0.6,0.69,,,11,,,,,,,,11,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,2,3:17,497,500,300,450,2500,250,240
Chris Weidman,Bruno Silva,145,-175,145,57.1429,3/30/2024,"Atlantic City, New Jersey, USA",USA,Red,FALSE,Middleweight,MALE,3,2,0,0,4.12,0.49,0,0.93,0.27,3,4,16,0,0,0,0,4,0,0,4,Orthodox,182.88,187.96,185,2,0,0,3.18,0.45,0.8,3.44,0.42,9,7,43,5,0,0,4,4,3,0,11,Orthodox,187.96,198.12,185,39,34,0,0,-6,-7,-3,-27,-5,0,-3,-5.08,-10.16,-5,0.94,-0.8,-2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,2:18,738,400,450,500,1600,1200,-110
Nursulton Ruziboev,Sedriques Dumas,-258,210,38.7597,210,3/30/2024,"Atlantic City, New Jersey, USA",USA,Red,FALSE,Middleweight,MALE,3,0,2,0,2.15,0.48,0.3,1.31,0.35,2,1,9,0,0,0,2,0,1,0,3,Orthodox,187.96,200.66,185,0,1,0,2.5,0.43,0,0.77,1,1,0,1,0,0,0,0,1,0,0,1,Orthodox,195.58,193.04,170,30,28,0,1,1,2,1,8,0,-1,1,-7.62,7.62,-2,-0.35,0.3,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,3:18,198,800,550,150,1000,250,400
Bill Algeo,Kyle Nelson,-298,240,33.557,240,3/30/2024,"Atlantic City, New Jersey, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,2,1,3.65,0.45,0.6,1.1,0.2,2,4,21,0,0,0,2,1,0,0,3,Switch,180.34,180.34,145,0,2,0,5.88,0.51,0.1,1.03,0.5,2,4,25,0,0,0,3,1,1,0,5,Switch,182.88,185.42,145,34,32,0,0,0,-2,0,-4,0,0,-1,-2.54,-5.08,-2,-2.23,0.5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,4:00,240,120,300,400,1800,450,1000
