RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Hakeem Dawodu,Kyle Bochniak,-200,170,50,170,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,FALSE,Featherweight,MALE,3,1,0,0,38.4,0.324,0,1,0.146,1,3,15,0,0,1,1,0,0,0,2,Orthodox,170.18,177.8,145,0,1,0,39,0.72,0,0,0,1,1,4,0,0,0,1,0,0,0,1,Orthodox,172.72,185.42,145,27,31,-1,-1,0,1,-2,11,0,0,0,-2.54,-7.62,-4,-0.6,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,140,225,1400,1200,275,900
Jimi Manuwa,Thiago Santos,160,-185,160,54.0541,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Light Heavyweight,MALE,3,0,2,0,31.5625,0.459,0.0625,0.375,0.151,4,5,27,0,0,0,2,9,0,0,11,Orthodox,187.96,193.04,205,2,0,0,26,0.527,0.2,0.3,0.1,3,4,19,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,38,34,2,2,1,5,-1,8,0,4,0,2.54,-7.62,4,5.5625,-0.1375,0.075,0,,7,,,,,,7,,,,,,,,,,,,,,15,,,,,,,Red,KO/TKO,Punch,2,0:41,341,800,600,2500,2200,180,-125
Claudia Gadelha,Nina Ansaroff,-310,255,32.2581,255,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Women's Strawweight,FEMALE,3,0,3,0,71,0.474,0.8,0.4,0.3,3,2,15,0,0,0,2,0,1,0,3,Orthodox,165.1,162.56,115,0,1,0,47.625,0.403,1,3.875,0.608,2,3,24,1,0,1,3,0,1,0,5,Orthodox,162.56,160.02,115,30,33,0,2,1,-2,1,-9,-1,0,0,2.54,2.54,-3,23.375,-0.2,-3.475,0,11,3,,,3,,,,,,,,,,,,,11,,,,,,,,,,,Red,U-DEC,,3,5:00,900,-155,,425,,1040,
Olivier Aubin-Mercier,Gilbert Burns,-135,115,74.0741,115,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Lightweight,MALE,3,1,0,0,26.7778,0.417,0.5556,1.4444,0.457,3,3,19,0,0,0,1,2,3,0,6,Orthodox,177.8,180.34,155,1,0,0,30,0.543,0.5,2.3,0.289,4,3,26,1,0,1,1,1,4,0,7,Southpaw,175.26,177.8,155,29,32,0,0,-1,-1,0,-7,-1,1,-1,2.54,2.54,-3,-3.2222,0.0556,-0.8556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,118,390,920,395,1100,525
Katlyn Chookagian,Jessica Eye,-235,195,42.5532,195,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Women's Flyweight,FEMALE,3,0,2,0,48,0.397,0.7778,0.5556,0.25,2,6,26,0,0,1,1,0,0,1,3,Orthodox,167.64,167.64,125,0,3,0,60.4,0.29,0.2,0,0,3,1,15,0,0,1,3,0,0,0,4,Orthodox,175.26,172.72,125,29,32,0,-1,-1,-1,-5,11,0,1,0,-7.62,-5.08,-3,-12.4,0.5778,0.5556,0,9,3,3,,,,,,,,,,,,,9,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900,-135,243,720,1458,1350,1270
Elias Theodorou,Eryk Anders,-125,105,80,105,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,FALSE,Middleweight,MALE,3,1,0,0,41.6,0.536,0.2,2.4,0.374,2,2,15,0,0,0,1,2,0,0,3,Southpaw,185.42,190.5,185,0,2,0,54.1111,0.416,0,1.4444,0.296,3,2,25,1,0,0,5,2,0,0,7,Orthodox,185.42,190.5,185,30,31,-1,-2,-1,-4,0,-10,-1,0,0,0,0,-1,-12.5111,0.2,0.9556,0,,14,,,,,,,14,,,,,,,,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900,135,230,1100,1700,796,425
Brad Katona,Matthew Lopez,-160,140,62.5,140,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,FALSE,Bantamweight,MALE,3,2,0,0,28.6,0.536,1,2.2,0.7,2,3,12,0,0,0,1,1,0,0,2,Southpaw,170.18,175.26,135,0,1,0,71,0.63,0,2,0.28,1,0,3,1,0,0,1,0,0,0,1,Orthodox,167.64,162.56,135,26,31,-2,-1,1,1,-3,9,-1,1,0,2.54,12.7,-5,-42.4,1,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,181,230,400,825,506,1250
Chad Laprise,Dhiego Lima,-400,325,25,325,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Welterweight,MALE,3,4,0,0,17.1667,0.52,0.6667,1,0.125,1,5,11,2,0,0,1,0,0,0,1,Orthodox,187.96,187.96,170,1,0,0,44.6667,0.442,0,0.6667,0.286,3,3,19,1,0,1,2,3,0,0,6,Orthodox,177.8,180.34,170,32,29,-3,0,-2,-5,-2,-8,1,-3,0,10.16,7.62,3,-27.5,0.6667,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:37,97,230,500,1167,1397,-105,1050
Diego Ferreira,Kyle Nelson,-550,425,18.1818,425,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,FALSE,Lightweight,MALE,3,0,0,0,,0.36,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,180.34,180.34,155,0,2,0,27.8333,0.423,0.5,0.1667,0.167,2,2,11,0,0,0,1,2,1,0,4,Orthodox,175.26,187.96,155,33,27,0,-2,-2,-4,2,-11,0,-2,-1,5.08,-7.62,6,-27.8333,-0.5,-0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,1:23,383,275,550,160,140,250,600
Devin Clark,Aleksandar Rakic,435,-570,435,17.5439,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Light Heavyweight,MALE,3,0,2,0,75,0.51,0,1.5,0.375,2,0,6,0,0,0,2,0,0,0,2,Orthodox,193.04,198.12,205,0,1,0,38.8,0.582,0.2,2.6,0.472,2,2,12,0,0,0,3,0,0,0,3,Orthodox,182.88,190.5,205,28,26,0,1,0,-1,2,-6,0,0,0,10.16,7.62,2,36.2,-0.2,-1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Spinning Back Fist,1,4:05,245,574,237,2390,619,1700,-130
Junior Dos Santos,Tai Tuivasa,-160,140,62.5,140,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Heavyweight,MALE,5,0,3,0,38,0.6,0,0,0,3,0,5,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264,0,1,0,59.3529,0.521,0.0588,0.2941,0.206,9,4,47,5,0,0,5,8,0,0,13,Orthodox,193.04,195.58,238,34,25,0,2,-6,-10,4,-42,-5,-6,0,-5.08,-5.08,9,-21.3529,-0.0588,-0.2941,0,11,7,,,,,7,,,,,,,,,,,,,11,,,,,,,,,Red,KO/TKO,Punches,2,2:30,450,275,950,1000,1800,175,180
Mauricio Rua,Tyson Pedro,415,-525,415,19.0476,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,15.8,0.612,0.6,0.4,0.2,2,2,7,0,0,0,0,1,2,0,3,Orthodox,190.5,200.66,205,1,0,0,38.7778,0.499,0.2222,1.1667,0.215,3,9,45,3,0,1,1,7,0,0,9,Orthodox,185.42,193.04,205,37,27,0,0,-1,-6,7,-38,-3,-6,2,5.08,7.62,10,-22.9778,0.3778,-0.7667,0,14,13,,,,,,13,,,,,,,,,,,,,14,,,,,,,,Red,KO/TKO,Punches,3,0:43,643,800,450,1200,225,650,130
Mark Hunt,Justin Willis,-110,-110,90.9091,90.9091,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Heavyweight,MALE,3,0,3,0,50,0.587,0,1.3333,0.417,3,0,7,0,0,0,2,1,0,0,3,Southpaw,185.42,198.12,264,2,0,0,27.0588,0.417,0.0588,0.4118,0.2,4,9,43,1,0,0,1,7,0,0,8,Orthodox,177.8,182.88,265,44,31,2,3,-1,-5,9,-36,-1,-6,0,7.62,15.24,13,22.9412,-0.0588,0.9216,0,15,10,,,,,10,,,,,,,,,,,,,15,,,,,,,,,Red,U-DEC,,3,5:00,900,700,260,1600,1000,145,250
Jake Matthews,Anthony Rocco Martin,-150,130,66.6667,130,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Welterweight,MALE,3,0,2,0,33.6,0.388,1,0.8,0.248,3,4,26,0,0,0,3,1,2,0,6,Orthodox,182.88,185.42,170,0,3,0,31,0.462,0.6,1.7,0.455,3,3,22,0,0,1,1,0,4,1,7,Orthodox,180.34,185.42,170,24,28,0,-1,0,-1,-1,4,0,0,-2,2.54,0,-4,2.6,0.4,-0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,3,1:19,679,240,165,450,1000,650,750
Suman Mokhtarian,Sodiq Yusuff,450,-600,450,16.6667,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Featherweight,MALE,3,0,0,0,,0.49,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,170.18,145,26,25,0,0,0,0,0,0,0,0,0,-2.54,10.16,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,2:14,134,700,275,800,1200,1600,-190
Jimmy Crute,Paul Craig,-290,245,34.4828,245,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Light Heavyweight,MALE,3,0,1,0,19.5,0.518,1,0.75,0.195,1,2,7,0,0,0,0,0,2,0,2,Orthodox,190.5,193.04,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,205,22,31,0,1,1,2,-2,7,0,0,2,2.54,5.08,-9,19.5,1,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Kimura,3,4:51,891,375,675,800,450,100,1200
Yushin Okami,Aleksei Kunchenko,250,-300,250,33.3333,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Welterweight,MALE,3,0,1,0,44,0.28,0,1,0.5,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,177.8,170,0,1,0,25.15,0.384,0.45,1.65,0.368,4,6,52,1,0,2,7,4,0,1,14,Southpaw,187.96,190.5,170,37,34,0,0,-3,-13,6,-49,-1,-5,0,-15.24,-12.7,3,18.85,-0.45,-0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,365,185,1450,1400,1415,145
Wilson Reis,Ben Nguyen,125,-145,125,68.9655,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Flyweight,MALE,3,1,0,0,28.5,0.452,0.6667,0.1667,0.167,2,2,11,0,0,0,1,1,2,0,4,Switch,165.1,165.1,125,3,0,0,21.6364,0.325,0.4545,3.9091,0.397,3,5,28,1,0,0,4,0,2,0,6,Southpaw,162.56,165.1,125,33,30,2,0,-1,-2,3,-17,-1,1,0,2.54,0,3,6.8636,0.2121,-3.7424,0,10,8,,,,,,,,,,,,8,,,,,,,,,,,,,10,,Red,U-DEC,,3,5:00,900,300,171,360,1000,1325,320
Keita Nakamura,Salim Touahri,-155,135,64.5161,135,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Welterweight,MALE,3,1,0,0,35,0.47,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,1,0,0,29.6667,0.354,0.4444,2,0.526,1,6,26,0,0,1,0,0,2,0,3,Southpaw,180.34,185.42,170,34,29,0,0,-1,-3,5,-23,0,0,-2,-2.54,-2.54,5,5.3333,-0.4444,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,166,202,300,1980,1075,971
Elias Garcia,Kai Kara-France,300,-360,300,27.7778,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Flyweight,MALE,3,0,0,0,,0.41,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,125,1,0,0,19,0.35,0,0,0,0,1,2,0,0,0,0,0,0,0,0,Southpaw,165.1,170.18,125,26,25,1,0,0,0,1,-2,0,0,0,0,5.08,1,-19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,650,,770,,1110,
Mizuto Hirota,Christos Giagos,310,-370,310,27.027,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Lightweight,MALE,3,2,0,0,17,0.343,0.25,0.25,0.25,1,3,7,0,0,0,0,0,1,0,1,Orthodox,177.8,180.34,155,2,0,0,58,0.38,0,1.5,0.375,1,5,18,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,155,37,28,0,0,0,0,2,-11,0,0,1,7.62,10.16,9,-41,0.25,-1.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,448,-142,1555,710,1345,451
Alex Gorgees,Damir Ismagulov,425,-550,425,18.1818,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Lightweight,MALE,3,0,0,0,,0.43,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,188,155,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,187.96,187.96,155,23,27,0,0,0,0,0,0,0,0,0,-10.16,0.04,-4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,655,244,1545,450,1380,121
Rafael Dos Anjos,Kamaru Usman,270,-330,270,30.303,11/30/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE,5,0,8,0,49.625,0.52,0.25,3.5,0.366,8,0,23,1,0,0,6,1,1,0,8,Switch,182.88,193.04,170,1,0,0,47.36,0.449,0.56,1.8,0.308,5,8,69,4,0,0,10,4,3,0,17,Southpaw,172.72,177.8,170,34,31,1,8,3,-9,8,-46,-3,-3,-2,10.16,15.24,3,2.265,-0.31,1.7,0,5,3,,,,,,,,3,,,,,,,,,,,,,5,,,,,,Red,U-DEC,,5,5:00,1500,600,-136,751,1050,705,350
Juan Espino,Justin Frazier,-175,155,57.1429,155,11/30/2018,"Las Vegas, Nevada, USA", USA,Red,TRUE,Heavyweight,MALE,4,0,0,0,,0.66,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,190.5,265,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,208.28,250,38,29,0,0,0,0,0,0,0,0,0,-10.16,-17.78,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,3:36,216,450,800,240,1260,350,220
Pannie Kianzad,Macy Chiasson,-115,-105,86.9565,95.2381,11/30/2018,"Las Vegas, Nevada, USA", USA,Blue,TRUE,Women's Featherweight,FEMALE,4,0,0,0,,0.55,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,145,26,27,0,0,0,0,0,0,0,0,0,10.16,10.16,-1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,2:11,431,-105,249,1300,860,1655,425
Pedro Munhoz,Bryan Caraway,-290,245,34.4828,245,11/30/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,32.1111,0.326,0.6667,2.1111,0.356,2,3,25,0,0,1,1,0,4,0,6,Orthodox,172.72,172.72,135,0,1,0,43.8,0.486,0.8,0.7,0.28,4,4,21,0,0,0,2,1,3,0,6,Orthodox,167.64,165.1,135,32,34,-1,-1,-2,0,1,4,0,-1,1,5.08,7.62,-2,-11.6889,-0.1333,1.4111,0,14,9,,,,,,,,,,,9,,,,,,,,,,,,,14,,,Red,KO/TKO,Kick,1,2:39,159,100,329,325,1275,625,2020
Darren Stewart,Edmen Shahbazyan,100,-120,100,83.3333,11/30/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Middleweight,MALE,3,0,0,0,,0.52,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,188,185,0,2,0,22.5,0.452,0,1,0.227,2,4,11,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,27,21,0,-2,-2,-2,4,-11,0,-2,0,5.08,0.04,6,-22.5,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,570,650,1075,525,180,179
Ji Yeon Kim,Antonina Shevchenko,235,-275,235,36.3636,11/30/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,0,0,,0.57,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,172.72,170.18,125,0,2,0,67,0.327,0,0,0,2,1,9,0,0,2,0,0,0,0,2,Orthodox,170.18,182.88,125,29,34,0,-2,-2,-2,1,-9,0,0,0,2.54,-12.7,-5,-67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,305,-170,1160,1050,1875,600
Rick Glenn,Kevin Aguilar,-125,105,80,105,11/30/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,0,0,,0.36,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,185.42,145,0,1,0,62.8,0.384,0.4,0.8,0.114,2,2,15,0,0,2,1,0,0,0,3,Southpaw,182.88,177.8,145,29,30,0,-1,-2,-3,2,-15,0,0,0,-12.7,7.62,-1,-62.8,-0.4,-0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,155,176,1208,1185,484,658
Joseph Benavidez,Alex Perez,100,-120,100,83.3333,11/30/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Flyweight,MALE,3,0,3,0,45.6667,0.487,1,2.3333,0.35,3,0,6,0,0,0,1,1,1,0,3,Orthodox,167.64,165.1,135,1,0,0,48.1333,0.35,0.2667,1.0667,0.197,6,3,39,2,0,1,7,3,1,0,12,Southpaw,162.56,165.1,125,34,26,1,3,-3,-9,3,-33,-2,-2,0,5.08,0,8,-2.4667,0.7333,1.2667,0,12,3,,,,,,,,,,,,3,,,,,,,,,,,,,12,,Red,KO/TKO,Punches,1,4:19,259,195,204,1015,869,1100,325
Maurice Greene,Michel Batista,-140,120,71.4286,120,11/30/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Heavyweight,MALE,3,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,190.5,204,260,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,200.66,208.28,258,32,34,0,0,0,0,0,0,0,0,0,-10.16,-4.28,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Triangle Choke,1,2:14,134,709,370,665,850,105,401
Julija Stoliarenko,Leah Letson,170,-200,170,50,11/30/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Featherweight,FEMALE,3,0,0,0,,0.4,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,145,25,26,0,0,0,0,0,0,0,0,0,0,12.7,-1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,465,180,425,584,1220,250
Roosevelt Roberts,Darrell Horcher,-340,280,29.4118,280,11/30/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,1,0,0,26.3333,0.423,0.6667,0.3333,0.333,1,2,8,0,0,1,0,0,0,0,1,Southpaw,177.8,177.8,155,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,185.42,155,24,31,-1,0,1,1,-2,8,0,0,0,-10.16,-7.62,-7,26.3333,0.6667,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,1,4:50,290,214,630,290,1145,249,675
Tim Means,Ricky Rainey,-340,280,29.4118,280,11/30/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,3,1,0,0,19,0.43,0,0,0,0,1,2,0,0,0,0,0,0,0,0,Switch,185.42,195.58,170,2,0,0,50.1765,0.494,0.1176,0.4706,0.206,4,8,40,0,0,1,3,4,1,0,9,Orthodox,187.96,190.5,170,34,35,1,0,-4,-9,7,-38,0,-4,-1,-2.54,5.08,-1,-31.1765,-0.1176,-0.4706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,1:18,78,179,499,1018,1250,135,1025
Raoni Barcelos,Chris Gutierrez,-550,425,18.1818,425,11/30/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,0,0,,0.55,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,135,0,1,0,82,0.56,0,3,0.75,1,0,3,0,0,0,0,1,0,0,1,Orthodox,170.18,170.18,135,31,27,0,-1,-1,-1,0,-3,0,-1,0,5.08,5.08,4,-82,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,4:12,552,215,700,470,1670,115,1245
Curtis Blaydes,Francis Ngannou,-240,200,41.6667,200,11/24/2018,"Beijing, China", China,Blue,FALSE,Heavyweight,MALE,5,2,0,0,14.5,0.476,0.25,0,0,6,2,16,1,0,0,0,4,1,1,6,Orthodox,193.04,210.82,250,0,4,0,43.5714,0.546,0,4.7143,0.667,4,2,17,0,0,0,2,2,0,1,5,Orthodox,193.04,203.2,265,27,32,-2,-4,2,1,0,-1,1,2,1,0,7.62,-5,-29.0714,0.25,-4.7143,0,4,3,,,,,3,,,,,,,,,,,,,4,,,,,,,,,Red,KO/TKO,Punch,1,0:45,45,450,1600,1000,1600,-110,210
Alistair Overeem,Sergei Pavlovich,115,-135,115,74.0741,11/24/2018,"Beijing, China", China,Red,FALSE,Heavyweight,MALE,3,0,0,0,,0.52,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,190.5,213.36,257,2,0,0,30,0.678,0.2143,0.2143,0.179,4,6,28,1,1,0,2,5,0,0,8,Orthodox,193.04,203.2,265,38,26,2,0,-4,-8,6,-28,-1,-5,0,-2.54,10.16,12,-30,-0.2143,-0.2143,0,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,1,4:21,261,375,500,1000,1600,300,110
Song Yadong,Vince Morales,-550,425,18.1818,425,11/24/2018,"Beijing, China", China,Red,FALSE,Bantamweight,MALE,3,0,0,0,,0.39,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,0,2,0,23.5,0.33,1,0.5,0.5,2,0,3,0,0,0,0,1,1,0,2,Orthodox,172.72,170.18,135,20,28,0,-2,-2,-2,0,-3,0,-1,-1,-2.54,7.62,-8,-23.5,-1,-0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,650,,2000,,850
Li Jingliang,David Zawada,-220,180,45.4545,180,11/24/2018,"Beijing, China", China,Red,FALSE,Welterweight,MALE,3,1,0,0,33,0.51,5,2,0.4,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,0,1,0,45.5556,0.417,0,0.6667,0.287,3,3,20,0,0,1,1,4,0,0,6,Orthodox,182.88,180.34,170,30,28,-1,-1,-3,-6,2,-17,0,-4,0,0,10.16,2,-12.5556,5,1.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,125,400,750,625,335,600
Song Kenan,Alex Morono,-140,120,71.4286,120,11/24/2018,"Beijing, China", China,Blue,FALSE,Welterweight,MALE,3,1,0,0,44,0.37,0.5,0,0,2,3,15,0,0,1,1,0,1,0,3,Orthodox,180.34,182.88,170,0,2,0,23,0.725,0,0,0,2,0,3,0,0,0,0,2,0,0,2,Orthodox,182.88,180.34,170,28,28,-1,-2,0,1,-3,12,0,-2,1,-2.54,2.54,0,21,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,233,,520,,765
Wu Yanan,Lauren Mueller,290,-350,290,28.5714,11/24/2018,"Beijing, China", China,Red,FALSE,Women's Flyweight,FEMALE,3,0,1,0,58,0.37,0,2,1,1,0,3,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,125,1,0,0,22,0.43,0,1,0.5,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,167.64,125,22,27,1,1,1,1,1,0,0,0,0,-7.62,2.54,-5,36,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,-172,,850,,450
Hu Yaozong,Rashad Coulter,-125,105,80,105,11/24/2018,"Beijing, China", China,Blue,FALSE,Light Heavyweight,MALE,3,3,0,0,25.3333,0.49,0,0,0,0,3,5,0,0,0,0,0,0,0,0,Orthodox,180.34,193.04,205,1,0,0,8,0.44,1,0,0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,190.5,182.88,205,23,36,-2,0,0,0,-2,3,0,0,0,-10.16,10.16,-13,17.3333,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,600,680,1225,1300,155,145
